region,Lon,Lat
Aeropuerto-Fidepaz,-110.35369651052,24.11247448475
La Ardilla,-110.4294139,24.16341284
Balandra,-110.3213645,24.32335286
El Cajoncito,-110.3460252,24.12156135
El Centenario,-110.4084392,24.10585379
Chametla,-110.3909713,24.10115968
Comitan,-110.4194885,24.1310902
El Conchalito,-110.3473741,24.14005203
Enfermeria,-110.3065987,24.22999989
Erendira,-110.3133482,24.24952846
Espiritu Santo,-110.3556416,24.47123644
El Merito,-110.326312,24.30249475
El Mogote,-110.3483438,24.15666228
Palmira,-110.3010069,24.18081527
Unidad Pichilingue,-110.3223964,24.26862232
El Tesoro,-110.3107925,24.26009652
El Zacatal,-110.3769138,24.10939555
Zacatecas,-110.4351981,24.17390702
